City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,288.76,81,0,4.63,ZA,1712860222
1,ushuaia,-54.8,-68.3,281.96,53,0,8.75,AR,1712860060
2,olonkinbyen,70.9221,-8.7187,264.71,76,100,4.6,SJ,1712860223
3,choibalsan,48.0667,114.5,279.59,71,71,3.09,MN,1712860223
4,ribeira grande,38.5167,-28.7,290.37,88,40,4.63,PT,1712860223
5,adamstown,-25.066,-130.1015,294.74,55,91,8.38,PN,1712860061
6,port mathurin,-19.6833,63.4167,298.2,94,75,1.03,MU,1712860224
7,bilibino,68.0546,166.4372,254.51,99,100,0.49,RU,1712860224
8,isafjordur,66.0755,-23.124,275.17,75,100,7.2,IS,1712860224
9,grytviken,-54.2811,-36.5092,274.06,75,40,5.47,GS,1712860198
10,gaalkacyo,6.7697,47.4308,300.92,70,100,8.23,SO,1712860225
11,ust-nera,64.5667,143.2,258.68,97,85,2.87,RU,1712860225
12,albany,42.6001,-73.9662,287.36,80,100,2.24,US,1712859960
13,badger,64.8,-147.5333,275.77,67,100,2.06,US,1712860226
14,el fahs,36.3742,9.9065,284.93,83,100,2.01,TN,1712860226
15,kabardinka,44.6514,37.9428,289.83,66,100,1.34,RU,1712860227
16,port-aux-francais,-49.35,70.2167,279.1,96,99,7.23,TF,1712860227
17,filadelfia,39.9523,-75.1638,297.06,69,75,5.66,US,1712860055
18,vorgashor,67.5833,63.95,263.6,87,100,11.9,RU,1712860228
19,yellowknife,62.456,-114.3525,275.05,84,75,6.69,CA,1712860228
20,college,64.8569,-147.8028,275.82,61,100,2.06,US,1712859938
21,kirakira,-10.4544,161.9205,298.71,83,100,1.21,SB,1712860229
22,sorong,-0.8833,131.25,299.66,81,92,1.83,ID,1712860229
23,puerto ayora,-0.7393,-90.3518,303.13,93,27,3.58,EC,1712860229
24,puerto natales,-51.7236,-72.4875,284.4,50,0,4.63,CL,1712860230
25,tubarao,-28.4667,-49.0069,293.66,99,100,0.67,BR,1712860182
26,tsiombe,-25.3,45.4833,294.53,82,92,2.75,MG,1712860230
27,waitangi,-43.9535,-176.5597,289.16,95,100,4.02,NZ,1712860231
28,ugoofaaru,5.6667,73.0,302.42,75,81,3.78,MV,1712860231
29,shimanovsk,52.0,127.7,277.17,57,100,2.9,RU,1712860232
30,mazabuka,-15.856,27.748,292.75,93,64,2.4,ZM,1712860232
31,port alfred,-33.5906,26.891,288.25,85,5,2.24,ZA,1712860232
32,udachny,66.4167,112.4,245.07,100,99,2.21,RU,1712860232
33,cankuzo,-3.1333,30.5833,289.74,94,23,0.67,BI,1712860233
34,bethel,41.3712,-73.414,286.84,88,100,2.24,US,1712860005
35,labrador city,52.9463,-66.9114,277.1,60,100,7.72,CA,1712860210
36,pauini,-7.7136,-66.9764,297.01,98,100,1.57,BR,1712860233
37,iqaluit,63.7506,-68.5145,271.0,68,100,2.06,CA,1712860212
38,cill airne,52.05,-9.5167,285.59,97,100,3.68,IE,1712860234
39,mhangura,-16.8939,30.1683,291.44,96,98,3.07,ZW,1712860234
40,piacabucu,-10.4056,-36.4344,302.19,71,75,3.89,BR,1712860235
41,namtsy,62.7161,129.6658,271.49,98,100,4.05,RU,1712860235
42,ketchikan,55.3422,-131.6461,278.41,87,100,3.09,US,1712860235
43,kavaratti,10.5669,72.642,302.54,69,0,3.43,IN,1712860235
44,port douglas,-16.4833,145.4667,295.65,76,55,3.25,AU,1712860235
45,namibe,-15.1961,12.1522,295.69,76,1,4.42,AO,1712860236
46,tiksi,71.6872,128.8694,245.0,95,23,5.54,RU,1712860236
47,edinburgh of the seven seas,-37.0676,-12.3116,291.2,96,95,4.62,SH,1712860236
48,patigi,8.7333,5.75,308.45,29,66,1.4,NG,1712860237
49,kodiak,57.79,-152.4072,271.88,93,100,0.0,US,1712860237
50,naze,28.3667,129.4833,291.66,85,81,0.71,JP,1712860237
51,peniche,39.3558,-9.3811,299.31,75,94,4.55,PT,1712860237
52,kabo,7.6994,18.629,306.1,33,98,2.51,CF,1712860237
53,pemba,-12.974,40.5178,301.17,81,100,2.52,MZ,1712860238
54,palangkaraya,-2.2,113.8333,297.67,96,40,0.93,ID,1712860238
55,margaret river,-33.95,115.0667,286.54,76,5,5.31,AU,1712860238
56,vredendal,-31.6683,18.5012,296.31,24,6,7.52,ZA,1712860238
57,arkhangel'sk,64.5401,40.5433,279.21,61,75,11.0,RU,1712860239
58,svetlyy,54.675,20.1347,286.13,69,100,5.09,RU,1712860239
59,anadyr,64.75,177.4833,255.43,84,0,4.92,RU,1712860239
60,puerto leguizamo,-0.1934,-74.7819,300.54,88,100,2.4,CO,1712860239
61,invercargill,-46.4,168.35,280.94,89,100,2.61,NZ,1712860045
62,happy valley-goose bay,53.3168,-60.3315,287.32,15,40,5.14,CA,1712860240
63,icano,-28.9193,-65.3282,286.84,94,100,1.61,AR,1712860240
64,longyearbyen,78.2186,15.6401,260.06,61,0,4.12,SJ,1712860240
65,kapoeta,4.7717,33.5903,303.41,46,11,4.25,SS,1712860240
66,el matama,16.7095,33.3565,303.27,7,0,5.92,SD,1712860241
67,chauk,20.8833,94.8167,303.82,35,0,2.71,MM,1712860241
68,punta arenas,-53.15,-70.9167,283.21,53,0,11.83,CL,1712860103
69,tual,-5.6667,132.75,301.59,70,98,2.13,ID,1712860242
70,sao gabriel da cachoeira,-0.1303,-67.0892,304.04,74,40,3.09,BR,1712860242
71,talnakh,69.4865,88.3972,247.15,98,97,3.15,RU,1712860242
72,utrik,11.2278,169.8474,299.86,75,100,9.16,MH,1712860242
73,tindouf,27.6711,-8.1474,302.58,8,0,3.47,DZ,1712860243
74,castillos,-34.1667,-53.8333,290.8,58,99,3.44,UY,1712860243
75,rio gallegos,-51.6226,-69.2181,286.18,38,0,11.32,AR,1712859980
76,greymouth,-42.4667,171.2,286.15,92,33,3.51,NZ,1712860243
77,blackmans bay,-43.0167,147.3167,284.22,86,65,0.45,AU,1712860244
78,dwarka,22.2394,68.9678,298.47,86,5,5.67,IN,1712860244
79,agryz,56.5203,52.9942,287.04,83,100,8.13,RU,1712860244
80,west island,-12.1568,96.8225,300.14,78,40,2.57,CC,1712860244
81,bredasdorp,-34.5322,20.0403,287.72,67,0,4.61,ZA,1712860245
82,wailua homesteads,22.0669,-159.378,298.39,92,75,1.54,US,1712860245
83,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,71,0,11.62,RU,1712860245
84,viedma,-40.8135,-62.9967,290.4,31,100,1.97,AR,1712860061
85,adis zemen,12.1167,37.7833,299.29,19,98,3.81,ET,1712860246
86,saint-philippe,-21.3585,55.7679,298.92,86,47,1.43,RE,1712860246
87,atafu village,-8.5421,-172.5159,302.47,77,90,3.67,TK,1712860246
88,micheweni,-4.9667,39.8333,301.57,81,15,4.26,TZ,1712860246
89,mwene-ditu,-7.0,23.45,293.91,92,100,0.88,CD,1712860247
90,broken hill,-31.95,141.4333,284.69,64,3,3.37,AU,1712860247
91,avarua,-21.2078,-159.775,301.18,83,75,6.69,CK,1712860247
92,alofi,-19.0595,-169.9187,295.09,94,100,0.51,NU,1712860248
93,louga,58.7372,29.8453,282.8,55,100,5.9,RU,1712860248
94,kailua-kona,19.6406,-155.9956,299.59,89,75,2.06,US,1712860133
95,iskateley,67.6803,53.1512,274.83,100,100,7.6,RU,1712860248
96,puerto baquerizo moreno,-0.9,-89.6,301.7,79,40,3.09,EC,1712860249
97,tolanaro,-25.0319,46.9987,297.19,83,40,3.09,MG,1712860249
98,whitehorse,60.7161,-135.0538,276.58,51,20,3.6,CA,1712860057
99,san luis de la loma,17.2706,-100.8939,303.01,57,0,4.07,MX,1712860249
100,roosevelt,33.9668,-103.4505,288.08,29,0,4.92,US,1712859959
101,codrington,-38.2667,141.9667,286.62,70,98,3.31,AU,1712860250
102,lithgow,-33.4833,150.15,281.84,97,58,0.94,AU,1712860250
103,dudinka,69.4058,86.1778,247.38,100,80,3.14,RU,1712860250
104,vilyuchinsk,52.9306,158.4028,272.3,81,6,4.71,RU,1712860251
105,hawaiian paradise park,19.5933,-154.9731,295.39,98,100,1.54,US,1712860251
106,alaghsas,17.0187,8.0168,311.09,6,0,3.09,NE,1712860251
107,slave lake,55.2834,-114.769,284.14,24,0,2.06,CA,1712860251
108,aasiaat,68.7098,-52.8699,268.5,83,100,1.31,GL,1712860252
109,fort st. john,56.2499,-120.8529,281.09,49,75,3.09,CA,1712860207
110,north platte,41.1239,-100.7654,287.63,24,0,10.28,US,1712860023
111,acarau,-2.8856,-40.12,301.4,82,90,3.61,BR,1712860253
112,salalah,17.0151,54.0924,301.2,74,40,3.09,OM,1712860253
113,al fulah,11.7329,28.3579,302.52,10,8,5.38,SD,1712860253
114,siwa oasis,29.2041,25.5195,296.94,18,0,3.68,EG,1712860254
115,colonia,50.9333,6.95,289.5,75,20,1.54,DE,1712860234
116,papatowai,-46.5619,169.4708,280.44,88,100,2.88,NZ,1712860254
117,east london,-33.0153,27.9116,287.67,82,20,8.75,ZA,1712860254
118,itamarandiba,-17.8572,-42.8589,300.27,59,49,2.15,BR,1712860040
119,jackson,42.4165,-122.8345,290.58,54,0,1.54,US,1712860020
120,saldanha,-33.0117,17.9442,292.18,53,6,5.48,ZA,1712860255
121,white meadow lake,40.9237,-74.5107,291.9,82,100,2.57,US,1712860255
122,chai badan,15.2,101.1333,303.78,59,39,2.89,TH,1712860255
123,nuuk,64.1835,-51.7216,271.49,93,100,1.79,GL,1712860256
124,glubokoye,50.1456,82.3114,276.01,93,100,6.0,KZ,1712860256
125,vilyuysk,63.7553,121.6247,258.15,95,100,3.13,RU,1712860256
126,sandy,40.572,-111.8606,292.0,28,0,5.14,US,1712860010
127,constantia,44.1833,28.65,289.65,64,2,1.25,RO,1712860210
128,praia da vitoria,38.7333,-27.0667,293.29,73,40,2.7,PT,1712860257
129,rumphi,-11.0186,33.8575,293.03,92,100,1.42,MW,1712860257
130,jamestown,42.097,-79.2353,294.92,75,100,7.72,US,1712860257
131,thanh hoa,19.8,105.7667,296.47,97,100,1.82,VN,1712860257
132,east wenatchee bench,47.4257,-120.2812,288.17,54,0,1.54,US,1712860258
133,bandar abbas,27.1865,56.2808,299.14,73,30,2.06,IR,1712860258
134,kedrovyy,56.1667,91.8167,270.38,90,100,2.18,RU,1712860258
135,mili,6.0815,171.735,300.18,87,100,8.34,MH,1712860258
136,zeya,53.75,127.2667,273.42,79,100,2.01,RU,1712860259
137,carutapera,-1.195,-46.02,302.12,79,27,3.11,BR,1712860259
138,champerico,14.3,-91.9167,308.45,62,93,5.61,GT,1712860259
139,nusaybin,37.0778,41.2178,287.92,82,0,2.02,TR,1712860259
140,lebu,-37.6167,-73.65,287.93,66,1,2.88,CL,1712860260
141,sydney mines,46.2367,-60.2177,283.71,42,20,7.72,CA,1712860260
142,taulaga,-11.0553,-171.0883,302.87,74,92,3.41,AS,1712860260
143,lata,40.1629,-8.3327,299.77,73,89,1.55,PT,1712860260
144,fuglafjordur,62.244,-6.814,282.41,91,100,11.2,FO,1712860261
145,kingston,17.997,-76.7936,304.68,66,20,11.32,JM,1712860123
146,skanor med falsterbo,55.4,12.85,286.05,97,100,8.97,SE,1712860261
147,klaksvik,62.2266,-6.589,282.66,93,100,13.54,FO,1712860261
148,el calafate,-50.3408,-72.2768,282.55,50,6,2.45,AR,1712860262
149,isangel,-19.55,169.2667,298.21,94,40,0.0,VU,1712860263
150,mount gambier,-37.8333,140.7667,285.66,64,100,1.72,AU,1712860263
151,saurimo,-9.6608,20.3916,294.57,85,86,0.5,AO,1712860263
152,qaqortoq,60.7167,-46.0333,270.45,75,89,2.18,GL,1712860264
153,hilo,19.7297,-155.09,295.51,99,100,1.54,US,1712860264
154,summerside,46.3959,-63.7876,284.64,66,95,3.6,CA,1712860036
155,hithadhoo,-0.6,73.0833,302.27,73,100,2.46,MV,1712860265
156,pekan,3.4836,103.3996,299.21,83,63,3.18,MY,1712860265
157,ilulissat,69.2167,-51.1,267.16,79,75,1.54,GL,1712860265
158,newman,37.3138,-121.0208,298.17,55,15,1.27,US,1712860266
159,krasnyy yar,46.5331,48.3456,288.11,53,100,2.84,RU,1712860266
160,taounate,34.5,-4.8333,292.74,49,19,2.69,MA,1712860266
161,dunedin,-45.8742,170.5036,280.82,99,100,2.24,NZ,1712860266
162,thompson,55.7435,-97.8558,275.24,75,100,4.63,CA,1712860267
163,yavatmal,20.4,78.1333,301.31,42,99,3.12,IN,1712860267
164,qamdo,31.1667,97.2333,272.32,54,90,1.85,CN,1712860267
165,fortuna,40.5982,-124.1573,286.47,88,100,3.6,US,1712860138
166,umluj,25.0213,37.2685,297.48,55,0,5.39,SA,1712860268
167,sinabang,2.4803,96.3801,300.27,84,100,1.46,ID,1712860268
168,dubbo,-32.25,148.6167,285.22,87,0,4.63,AU,1712860148
169,san antonio de pale,-1.4014,5.6325,299.93,84,100,8.32,GQ,1712860268
170,tirmiz,37.2242,67.2783,297.2,35,40,2.06,UZ,1712859977
171,chernyshevsk,52.5243,117.0174,277.85,89,100,1.64,RU,1712860269
172,eyl,7.9803,49.8164,301.36,82,100,4.06,SO,1712860269
173,hermanus,-34.4187,19.2345,288.04,70,12,7.9,ZA,1712860270
174,kijang,35.2442,129.2139,282.0,93,63,1.85,KR,1712860270
175,andergrove,-21.0833,149.1833,290.73,78,3,4.15,AU,1712860271
176,santander,43.4647,-3.8044,288.77,74,0,5.36,ES,1712860081
177,hammerfest,70.6634,23.6821,274.4,93,75,5.14,NO,1712860271
178,sola,-13.8833,167.55,301.21,79,100,4.99,VU,1712860271
179,nacaome,13.5361,-87.4875,313.28,19,19,3.93,HN,1712860271
180,kasongo-lunda,-6.4667,16.8167,296.88,95,100,0.73,CD,1712860272
181,bignona,12.8103,-16.2264,302.17,34,3,7.54,SN,1712860272
182,fale old settlement,-9.3852,-171.2468,302.56,77,34,2.75,TK,1712860272
183,carnarvon,-24.8667,113.6333,294.84,63,100,10.35,AU,1712860272
184,tangalle,6.024,80.7911,299.24,87,100,3.39,LK,1712860273
185,tympaki,35.0729,24.7685,291.54,65,0,2.24,GR,1712860273
186,uturoa,-16.7333,-151.4333,301.71,79,19,7.43,PF,1712860273
187,shimoda,34.6667,138.95,285.99,87,68,5.1,JP,1712860274
188,mahina,-17.5065,-149.489,302.02,74,75,0.0,PF,1712860122
189,ad-damazin,11.7891,34.3592,307.15,13,3,5.16,SD,1712860274
190,remire-montjoly,4.9167,-52.2667,303.17,74,75,6.69,GF,1712860274
191,polyarnyy,69.1989,33.4478,274.63,99,100,10.27,RU,1712860275
192,bichura,50.5881,107.6022,279.09,73,100,1.05,RU,1712860275
193,vadso,70.0744,29.7487,275.64,80,40,4.12,NO,1712860275
194,tromso,69.6496,18.957,276.16,87,100,2.06,NO,1712860133
195,mount isa,-20.7333,139.5,284.02,71,0,2.57,AU,1712860275
196,lodwar,3.1191,35.5973,301.72,65,96,9.86,KE,1712860276
197,tura,25.5198,90.2201,298.11,36,100,1.29,IN,1712860276
198,jutai,-5.1833,-68.9,300.37,83,100,1.28,BR,1712860276
199,egilsstadir,65.2653,-14.3948,274.1,93,100,7.72,IS,1712860276
